real	34m55.755s
user	32m29.944s
sys	1m23.012s




total_elements, symbols, declare_fun, declare_sort, check_sat, assert, argument, push, pop, let_bindings, forall, exists, core_true, core_false, core_not, core_imply, core_and, core_or, core_xor, core_distinct, mult, plus, equals, int_le_or_gr, int_leq_or_grq, bvand, bvor, bvxor, bvnand, bvnor, bvcomp, bvadd, bvmul, bvs_l_g, bvs_le_ge, bvu_l_g, bvu_le_ge  
1890, 1239, 166, 0, 1, 1, 0, 0, 0, 99, 0, 0, 0, 0, 122, 0, 1, 0, 0, 0, 0, 0, 227, 0, 0, 27, 72, 0, 0, 0, 0, 302, 0, 0, 1, 66, 99
3261, 1919, 155, 0, 1, 1, 0, 0, 0, 143, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 601, 11, 10, 7, 125, 248
83, 46, 17, 0, 1, 1, 0, 0, 0, 6, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 9, 0, 0, 0, 5, 0, 0, 0, 0, 17, 0, 0, 1, 0, 6
15, 8, 4, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 1, 0
1941, 1156, 155, 0, 1, 1, 0, 0, 0, 92, 0, 0, 0, 0, 126, 0, 1, 0, 0, 0, 0, 0, 189, 0, 0, 6, 63, 0, 0, 0, 0, 350, 11, 4, 6, 53, 116
176, 102, 19, 0, 1, 1, 0, 0, 0, 22, 0, 0, 0, 0, 11, 0, 1, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 0, 0, 0, 0, 51, 0, 0, 0, 0, 14
7, 5, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
131, 76, 17, 0, 1, 1, 0, 0, 0, 16, 0, 0, 0, 0, 8, 0, 1, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 0, 0, 0, 0, 37, 0, 0, 0, 0, 13
1376, 873, 148, 0, 1, 1, 0, 0, 0, 63, 0, 0, 0, 0, 94, 0, 1, 0, 0, 0, 0, 0, 169, 0, 0, 25, 70, 0, 0, 0, 0, 171, 0, 0, 2, 54, 88
42, 21, 5, 0, 1, 1, 0, 0, 0, 5, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 11, 0, 1, 0, 0, 2
24, 12, 4, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 1, 2
180, 114, 18, 0, 1, 1, 0, 0, 0, 19, 0, 0, 0, 0, 18, 0, 1, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 0, 0, 0, 0, 43, 0, 0, 0, 3, 4
82, 46, 13, 0, 1, 1, 0, 0, 0, 9, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4
632, 395, 74, 0, 1, 1, 0, 0, 0, 29, 0, 0, 0, 0, 46, 0, 1, 0, 0, 0, 0, 0, 77, 0, 0, 9, 38, 0, 0, 0, 0, 69, 0, 0, 0, 22, 34
59, 42, 26, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
126, 79, 18, 0, 1, 1, 0, 0, 0, 9, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 0, 0, 0, 0, 36, 0, 0, 0, 5, 2
758, 478, 85, 0, 1, 1, 0, 0, 0, 34, 0, 0, 0, 0, 57, 0, 1, 0, 0, 0, 0, 0, 96, 0, 0, 14, 43, 0, 0, 0, 0, 83, 0, 0, 0, 24, 44
1268, 592, 68, 0, 1, 1, 0, 0, 0, 11, 0, 0, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 61, 0, 0, 0, 24, 0, 0, 0, 0, 58, 1, 0, 13, 46, 120
37, 21, 9, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1
1247, 729, 155, 0, 1, 1, 0, 0, 0, 65, 0, 0, 0, 0, 78, 0, 1, 0, 0, 0, 0, 0, 134, 0, 0, 0, 63, 0, 0, 0, 0, 233, 11, 2, 2, 25, 71
123, 71, 18, 0, 1, 1, 0, 0, 0, 11, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 13, 0, 0, 0, 5, 0, 0, 0, 0, 27, 0, 0, 0, 0, 10
3001, 1792, 155, 0, 1, 1, 0, 0, 0, 131, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 552, 11, 4, 6, 101, 216
33, 19, 9, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0
42, 23, 9, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2
9, 4, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0
1600, 705, 68, 0, 1, 1, 0, 0, 0, 13, 0, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 64, 0, 0, 0, 24, 0, 0, 0, 0, 66, 1, 0, 9, 79, 149
227, 147, 46, 0, 1, 1, 0, 0, 0, 6, 0, 0, 0, 0, 18, 0, 1, 0, 0, 0, 0, 0, 37, 0, 0, 4, 22, 0, 0, 0, 0, 23, 0, 1, 1, 10, 6
3027, 1806, 155, 0, 1, 1, 0, 0, 0, 130, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 556, 11, 7, 4, 105, 225
91, 63, 26, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 8, 0, 1, 0, 0, 0, 0, 0, 18, 0, 0, 1, 14, 0, 0, 0, 0, 4, 0, 0, 2, 2, 2
158, 109, 39, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 13, 0, 1, 0, 0, 0, 0, 0, 28, 0, 0, 2, 21, 0, 0, 0, 0, 7, 0, 0, 1, 7, 2
22, 14, 9, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
37, 21, 9, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1
1133, 546, 68, 0, 1, 1, 0, 0, 0, 10, 0, 0, 0, 0, 16, 0, 1, 0, 0, 0, 0, 0, 57, 0, 0, 0, 24, 0, 0, 0, 0, 55, 1, 0, 7, 41, 117
1326, 775, 155, 0, 1, 1, 0, 0, 0, 71, 0, 0, 0, 0, 81, 0, 1, 0, 0, 0, 0, 0, 137, 0, 0, 0, 63, 0, 0, 0, 0, 245, 11, 2, 6, 32, 71
1877, 1111, 155, 0, 1, 1, 0, 0, 0, 99, 0, 0, 0, 0, 119, 0, 1, 0, 0, 0, 0, 0, 182, 0, 0, 6, 63, 0, 0, 0, 0, 336, 11, 2, 3, 50, 120
613, 363, 108, 0, 1, 1, 0, 0, 0, 34, 0, 0, 0, 0, 30, 0, 1, 0, 0, 0, 0, 0, 66, 0, 0, 0, 46, 0, 0, 0, 0, 128, 0, 0, 0, 1, 28
31, 22, 13, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
2704, 1652, 155, 0, 1, 1, 0, 0, 0, 123, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 505, 11, 3, 7, 78, 194
189, 109, 26, 0, 1, 1, 0, 0, 0, 14, 0, 0, 0, 0, 9, 0, 1, 0, 0, 0, 0, 0, 17, 0, 0, 0, 7, 0, 0, 0, 0, 47, 0, 1, 0, 0, 15
470, 297, 61, 0, 1, 1, 0, 0, 0, 23, 0, 0, 0, 0, 31, 0, 1, 0, 0, 0, 0, 0, 53, 0, 0, 3, 31, 0, 0, 0, 0, 55, 0, 0, 0, 12, 31
153, 94, 17, 0, 1, 1, 0, 0, 0, 13, 0, 0, 0, 0, 9, 0, 1, 0, 0, 0, 0, 0, 17, 0, 0, 0, 5, 0, 0, 0, 0, 34, 0, 0, 0, 1, 7
2493, 1509, 155, 0, 1, 1, 0, 0, 0, 133, 0, 0, 0, 0, 162, 0, 1, 0, 0, 0, 0, 0, 231, 0, 0, 9, 63, 0, 0, 0, 0, 458, 11, 3, 8, 72, 170
14, 7, 5, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0
2774, 1683, 155, 0, 1, 1, 0, 0, 0, 127, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 518, 11, 3, 6, 96, 197
242, 160, 35, 0, 1, 1, 0, 0, 0, 11, 0, 0, 0, 0, 18, 0, 1, 0, 0, 0, 0, 0, 31, 0, 0, 2, 17, 0, 0, 0, 0, 25, 0, 0, 0, 5, 15
2892, 1743, 155, 0, 1, 1, 0, 0, 0, 129, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 535, 11, 5, 10, 90, 212
2386, 1436, 155, 0, 1, 1, 0, 0, 0, 111, 0, 0, 0, 0, 156, 0, 1, 0, 0, 0, 0, 0, 224, 0, 0, 9, 63, 0, 0, 0, 0, 436, 11, 3, 4, 66, 168
50, 26, 8, 0, 1, 1, 0, 0, 0, 6, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 13, 0, 0, 1, 0, 4
17, 12, 8, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 9, 4, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1
3191, 1886, 155, 0, 1, 1, 0, 0, 0, 138, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 584, 11, 7, 5, 121, 248
134, 81, 17, 0, 1, 1, 0, 0, 0, 11, 0, 0, 0, 0, 9, 0, 1, 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 0, 0, 0, 0, 34, 0, 0, 0, 8, 1
1497, 669, 68, 0, 1, 1, 0, 0, 0, 13, 0, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 64, 0, 0, 0, 24, 0, 0, 0, 0, 61, 1, 0, 10, 55, 133
3250, 1915, 155, 0, 1, 1, 0, 0, 0, 141, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 598, 11, 11, 7, 121, 250
3277, 1929, 155, 0, 1, 1, 0, 0, 0, 147, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 605, 11, 10, 5, 109, 263
28, 17, 9, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0
158, 99, 18, 0, 1, 1, 0, 0, 0, 16, 0, 0, 0, 0, 16, 0, 1, 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 0, 0, 0, 0, 36, 0, 0, 0, 2, 4
1851, 1091, 155, 0, 1, 1, 0, 0, 0, 93, 0, 0, 0, 0, 118, 0, 1, 0, 0, 0, 0, 0, 179, 0, 0, 6, 63, 0, 0, 0, 0, 330, 11, 3, 5, 48, 121
227, 147, 46, 0, 1, 1, 0, 0, 0, 6, 0, 0, 0, 0, 18, 0, 1, 0, 0, 0, 0, 0, 37, 0, 0, 4, 22, 0, 0, 0, 0, 23, 0, 1, 1, 10, 6
188, 115, 17, 0, 1, 1, 0, 0, 0, 17, 0, 0, 0, 0, 14, 0, 1, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 0, 0, 0, 0, 44, 0, 0, 0, 3, 13
15, 9, 5, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1
1195, 568, 68, 0, 1, 1, 0, 0, 0, 10, 0, 0, 0, 0, 18, 0, 1, 0, 0, 0, 0, 0, 59, 0, 0, 0, 24, 0, 0, 0, 0, 56, 1, 0, 9, 42, 118
11, 7, 5, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
194, 111, 29, 0, 1, 1, 0, 0, 0, 16, 0, 0, 0, 0, 8, 0, 1, 0, 0, 0, 0, 0, 17, 0, 0, 0, 10, 0, 0, 0, 0, 45, 0, 0, 1, 1, 12
1711, 1000, 155, 0, 1, 1, 0, 0, 0, 77, 0, 0, 0, 0, 106, 0, 1, 0, 0, 0, 0, 0, 165, 0, 0, 4, 63, 0, 0, 0, 0, 306, 11, 5, 7, 43, 105
176, 111, 38, 0, 1, 1, 0, 0, 0, 7, 0, 0, 0, 0, 14, 0, 1, 0, 0, 0, 0, 0, 29, 0, 0, 3, 16, 0, 0, 0, 0, 29, 0, 0, 1, 4, 2
7, 5, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
85, 60, 26, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 8, 0, 1, 0, 0, 0, 0, 0, 18, 0, 0, 1, 14, 0, 0, 0, 0, 4, 0, 0, 1, 1, 3
369, 242, 58, 0, 1, 1, 0, 0, 0, 19, 0, 0, 0, 0, 26, 0, 1, 0, 0, 0, 0, 0, 46, 0, 0, 2, 30, 0, 0, 0, 0, 37, 0, 0, 0, 6, 25
127, 89, 15, 0, 1, 1, 0, 0, 0, 11, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 13, 0, 0, 1, 5, 0, 0, 0, 0, 14, 0, 0, 0, 6, 10
20, 12, 5, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0
2015, 1199, 155, 0, 1, 1, 0, 0, 0, 105, 0, 0, 0, 0, 129, 0, 1, 0, 0, 0, 0, 0, 192, 0, 0, 6, 63, 0, 0, 0, 0, 363, 11, 3, 6, 51, 133
1420, 822, 155, 0, 1, 1, 0, 0, 0, 67, 0, 0, 0, 0, 84, 0, 1, 0, 0, 0, 0, 0, 140, 0, 0, 0, 63, 0, 0, 0, 0, 256, 11, 3, 6, 30, 96
850, 538, 91, 0, 1, 1, 0, 0, 0, 37, 0, 0, 0, 0, 59, 0, 1, 0, 0, 0, 0, 0, 105, 0, 0, 17, 45, 0, 0, 0, 0, 99, 0, 0, 0, 28, 57
1314, 830, 139, 0, 1, 1, 0, 0, 0, 58, 0, 0, 0, 0, 93, 0, 1, 0, 0, 0, 0, 0, 161, 0, 0, 25, 69, 0, 0, 0, 0, 156, 0, 0, 1, 43, 79
2079, 1240, 155, 0, 1, 1, 0, 0, 0, 101, 0, 0, 0, 0, 134, 0, 1, 0, 0, 0, 0, 0, 198, 0, 0, 7, 63, 0, 0, 0, 0, 375, 11, 2, 5, 49, 134
131, 75, 16, 0, 1, 1, 0, 0, 0, 16, 0, 0, 0, 0, 8, 0, 1, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 0, 0, 0, 0, 36, 0, 0, 0, 0, 9
2067, 1234, 155, 0, 1, 1, 0, 0, 0, 101, 0, 0, 0, 0, 133, 0, 1, 0, 0, 0, 0, 0, 197, 0, 0, 6, 63, 0, 0, 0, 0, 373, 11, 3, 5, 48, 137
15, 11, 8, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
94, 54, 18, 0, 1, 1, 0, 0, 0, 8, 0, 0, 0, 0, 10, 0, 1, 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 0, 0, 0, 0, 19, 0, 0, 0, 3, 2
1583, 698, 68, 0, 1, 1, 0, 0, 0, 13, 0, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 64, 0, 0, 0, 24, 0, 0, 0, 0, 65, 1, 0, 7, 63, 143
264, 156, 31, 0, 1, 1, 0, 0, 0, 23, 0, 0, 0, 0, 13, 0, 1, 0, 0, 0, 0, 0, 21, 0, 0, 0, 9, 0, 0, 0, 0, 75, 0, 0, 1, 1, 14
586, 369, 74, 0, 1, 1, 0, 0, 0, 28, 0, 0, 0, 0, 44, 0, 1, 0, 0, 0, 0, 0, 73, 0, 0, 9, 38, 0, 0, 0, 0, 65, 0, 0, 0, 16, 28
109, 64, 17, 0, 1, 1, 0, 0, 0, 8, 0, 0, 0, 0, 6, 0, 1, 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 0, 0, 0, 0, 27, 0, 0, 0, 4, 3
1690, 989, 155, 0, 1, 1, 0, 0, 0, 79, 0, 0, 0, 0, 104, 0, 1, 0, 0, 0, 0, 0, 163, 0, 0, 3, 63, 0, 0, 0, 0, 303, 11, 2, 4, 35, 120
226, 137, 18, 0, 1, 1, 0, 0, 0, 18, 0, 0, 0, 0, 17, 0, 1, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 0, 0, 0, 0, 55, 0, 0, 0, 1, 15
11, 6, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0
437, 279, 61, 0, 1, 1, 0, 0, 0, 22, 0, 0, 0, 0, 28, 0, 1, 0, 0, 0, 0, 0, 50, 0, 0, 2, 31, 0, 0, 0, 0, 49, 0, 0, 0, 14, 26
1599, 936, 155, 0, 1, 1, 0, 0, 0, 77, 0, 0, 0, 0, 99, 0, 1, 0, 0, 0, 0, 0, 158, 0, 0, 3, 63, 0, 0, 0, 0, 286, 11, 3, 5, 37, 104
64, 47, 26, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 0, 0, 15, 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
2920, 1756, 155, 0, 1, 1, 0, 0, 0, 129, 0, 0, 0, 0, 172, 0, 1, 0, 0, 0, 0, 0, 243, 0, 0, 9, 63, 0, 0, 0, 0, 537, 11, 7, 7, 97, 220
340, 202, 62, 0, 1, 1, 0, 0, 0, 18, 0, 0, 0, 0, 17, 0, 1, 0, 0, 0, 0, 0, 37, 0, 0, 0, 27, 0, 0, 0, 0, 68, 0, 0, 0, 1, 19
1254, 735, 155, 0, 1, 1, 0, 0, 0, 65, 0, 0, 0, 0, 78, 0, 1, 0, 0, 0, 0, 0, 135, 0, 0, 0, 63, 0, 0, 0, 0, 234, 11, 2, 5, 28, 66
1392, 807, 155, 0, 1, 1, 0, 0, 0, 71, 0, 0, 0, 0, 81, 0, 1, 0, 0, 0, 0, 0, 138, 0, 0, 0, 63, 0, 0, 0, 0, 255, 11, 3, 3, 22, 90
2076, 1238, 155, 0, 1, 1, 0, 0, 0, 100, 0, 0, 0, 0, 134, 0, 1, 0, 0, 0, 0, 0, 198, 0, 0, 7, 63, 0, 0, 0, 0, 375, 11, 2, 5, 44, 141
172, 108, 18, 0, 1, 1, 0, 0, 0, 18, 0, 0, 0, 0, 17, 0, 1, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 0, 0, 0, 0, 41, 0, 0, 0, 4, 4
1694, 1101, 166, 0, 1, 1, 0, 0, 0, 83, 0, 0, 0, 0, 108, 0, 1, 0, 0, 0, 0, 0, 205, 0, 0, 27, 72, 0, 0, 0, 0, 239, 0, 0, 3, 56, 94
191, 111, 20, 0, 1, 1, 0, 0, 0, 24, 0, 0, 0, 0, 12, 0, 1, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 0, 0, 0, 0, 56, 0, 0, 0, 0, 14
